City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
417,Bosaso,SO,11.28,49.18,92.03,42,100,15.61
418,Mayo,US,38.89,-76.51,75.99,69,90,3.36
419,Sao Miguel Do Araguaia,BR,-13.28,-50.16,78.22,29,0,2.8
420,Tha Chang,TH,9.26,99.19,80.6,100,20,4.7
421,Port-Gentil,GA,-0.72,8.78,75.34,83,96,14.65
422,Polunochnoye,RU,60.87,60.42,53.02,94,82,9.33
423,Henderson,US,36.04,-114.98,100.4,2,1,5.82
424,Evensk,RU,61.95,159.23,55.83,43,0,3.09
425,Choix,MX,26.71,-108.32,84.87,76,46,5.7
426,Sergeyevka,KZ,53.88,67.42,64.26,56,2,6.49
427,Gunjur,GM,13.2,-16.73,80.6,100,40,3.36
428,Mackay,AU,-21.15,149.2,73.4,69,81,17.22
